id,modulo,caso de la matriz,estatus en la matriz,automatizado,prueba,que valida el codigo,etiquetas,comando,motivo si falta
PF_CP_001,Expediente Login,"Validación de inicio de sesión con usuario correcto, contraseña incorrecta",Fallado,si,LoginPruebas#pfCp001UsuarioCorrectoContrasenaIncorrecta,Usuario correcto y contrasena incorrecta,"login, humo",mvn test -Dtest='LoginPruebas#pfCp001UsuarioCorrectoContrasenaIncorrecta',
PF_CP_002,Expediente Login,"Validación de inicio de sesión con usuario incorrecto, contraseña correcta",Exitoso,si,LoginPruebas#pfCp002UsuarioIncorrectoContrasenaCorrecta,Usuario incorrecto y contrasena correcta,login,mvn test -Dtest='LoginPruebas#pfCp002UsuarioIncorrectoContrasenaCorrecta',
PF_CP_003,Expediente Login,"Validación de inicio de sesión con usuario incorrecto, contraseña incorrecta",Exitoso,si,LoginPruebas#pfCp003UsuarioYContrasenaIncorrectos,Usuario y contrasena incorrectos,login,mvn test -Dtest='LoginPruebas#pfCp003UsuarioYContrasenaIncorrectos',
PF_CP_004,Expediente Login,"Validación de inicio de sesión con usuario correcto, contraseña correcta",Exitoso,si,LoginPruebas#pfCp004UsuarioYContrasenaCorrectos,Usuario y contrasena correctos,"login, humo",mvn test -Dtest='LoginPruebas#pfCp004UsuarioYContrasenaCorrectos',
PF_CP_005,Expediente Login,Validación de la recuperación de contraseña,Cancelado,no,,,,,La matriz lo marca Cancelado.
PF_CP_006,Cambiar contraseña,Cambiar contraseña,Cancelado,no,,,,,La matriz lo marca Cancelado.
PF_CP_007,Cambiar contraseña,Características contraseña,Cancelado,no,,,,,La matriz lo marca Cancelado.
PF_CP_008,Expediente pantalla Inicio,Validacion de pantalla de inicio,Exitoso,si,NavegacionPruebas#pfCp008GraficaDeInicio,Pantalla de Inicio con la grafica de solicitudes,"navegacion, humo",mvn test -Dtest='NavegacionPruebas#pfCp008GraficaDeInicio',
PF_CP_009,Expediente pantalla Inicio,Validacion de pantalla de inicio,Exitoso,si,NavegacionPruebas#pfCp009TablaDeInicio,Pantalla de Inicio con la tabla de solicitudes,navegacion,mvn test -Dtest='NavegacionPruebas#pfCp009TablaDeInicio',
PF_CP_010,Expediente pantalla usuario,Validación de la pantalla de Usuarios,Exitoso,si,NavegacionPruebas#pfCp010PantallaUsuarios,Pantalla de Usuarios con sus botones,navegacion,mvn test -Dtest='NavegacionPruebas#pfCp010PantallaUsuarios',
PF_CP_011,Expediente pantalla usuario,Validación de la funcionalidad del botón Agregar Usuario,No Ejecutado,si,UsuariosValidacionesPruebas#pfCp011FormularioDeAltaDeUsuario,El alta de usuario muestra todos sus campos y botones,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#pfCp011FormularioDeAltaDeUsuario',
PF_CP_012,Expediente pantalla usuario,Validar campo Area,No Ejecutado,si,UsuariosValidacionesPruebas#pfCp012ListaArea,La lista Area muestra las opciones esperadas,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#pfCp012ListaArea',
PF_CP_013,Expediente pantalla usuario,Validar campo Tipo de usuario,No Ejecutado,si,UsuariosValidacionesPruebas#pfCp013ListaTipoDeUsuario,La lista Tipo de usuario muestra las opciones esperadas,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#pfCp013ListaTipoDeUsuario',
PF_CP_014,Expediente pantalla usuario,Validar Campo Nombres,No Ejecutado,si,UsuariosValidacionesPruebas#elCampoDebePermitir35Caracteres ; UsuariosValidacionesPruebas#elCampoNoDebePermitirNumerosNiEspeciales ; UsuariosValidacionesPruebas#elCampoVacioNoDebePermitirGuardar,Maximo de 35 caracteres por campo,"validaciones, usuarios",mvn test -Dtest='UsuariosValidacionesPruebas#elCampoDebePermitir35Caracteres',
