modulo,id,nombre,pasos,esperado,estatus
Expediente Login,PF_CP_001,"Validación de inicio de sesión con usuario correcto, contraseña incorrecta","1.- Ingresar el usuario correcto y contraseña incorrecta 2.- Presionar el botón ""Iniciar sesión""",Muestra un popup indicando:AMEX Argentina Ha ocurrido un error: Credenciales invalidas Botón Aceptar,Fallado
Expediente Login,PF_CP_002,"Validación de inicio de sesión con usuario incorrecto, contraseña correcta","1.- Ingresar el usuario incorrecto y contraseña correcta 2.- Presionar el botón ""Iniciar sesión""",Muestra un popup indicando:AMEX Argentina Ha ocurrido un error: Credenciales invalidas Botón Aceptar,Exitoso
Expediente Login,PF_CP_003,"Validación de inicio de sesión con usuario incorrecto, contraseña incorrecta","1.- Ingresar el usuario incorrecto y contraseña incorrecta 2.- Presionar el botón ""Iniciar sesión""",Muestra un popup indicando:AMEX Argentina Ha ocurrido un error: Credenciales invalidas Botón Aceptar,Exitoso
Expediente Login,PF_CP_004,"Validación de inicio de sesión con usuario correcto, contraseña correcta","1.- Ingresar el usuario correcto y contraseña correcta 2.- Presionar el botón ""Iniciar sesión""",Muestra la pantalla de inicio del expediente,Exitoso
Expediente Login,PF_CP_005,Validación de la recuperación de contraseña,1.-Seleccionar el botón olvidé mi contraseña 2.- Ingresar el usuario y seleccionar el botón enviar contraseña,Redirige a una pantalla para la recuperacion de contraseña,Cancelado
Cambiar contraseña,PF_CP_006,Cambiar contraseña,"1. Ingressar al sistema 2. En la parte superior derecha, dar tap en el usuario 3. Dar tap en cambiar contraseña","El sistema muestra una pantalla para colocar la contraseña actual y la nueva contraseña, con el botón Guardar deshabilitado y el botón Cancelar",Cancelado
Cambiar contraseña,PF_CP_007,Características contraseña,"1. Ingressar al sistema 2. En la parte superior derecha, dar tap en el usuario 3. Dar tap en cambiar contraseña","El sistema muestra las siguientes caracterísitcas para la nueva contraseña: Mínimo 13 caracteres. Al menos una letra (mayúscula o minúscula). Al menos un número. Al menos un carácter especial: #?!@%^&*- .()- No más de dos letras o números iguales consecutivos Solo se permiten letras, números y los caracteres especiales indicados",Cancelado
Expediente pantalla Inicio,PF_CP_008,Validacion de pantalla de inicio,1.- Seleccionar el botón de inicio de la pantalla superior izquierda,"Se mostrara una pantalla con la informacion de todas las solicitudes realizadas, se mostrara una grafica con la cantidad de solicitudes en cada estado: -Aprobadas -Denegadas -Creadas -Condicionada a ingresos -Ingreso -Aviso de privacidad -Identificacion oficial -Validacion de identidad -Terminos y condiciones -Pendiente de firma -Por dictaminar -Cancelado Se muestran los porcentajes de cada una.y que usuario es el que la administró",Exitoso
Expediente pantalla Inicio,PF_CP_009,Validacion de pantalla de inicio,1.- Seleccionar el botón de inicio de la pantalla superior izquierda,"Se mostrará una seccion donde se muestra toda la informacion acerca de la solicitud realizada, en esta seccion se mostrara la informacion de la solicitud: - Referencia - Fecha y hr. inicio - Fecha y hr. fin - Rol - Cliente - Usuario Modificó - Estatus",Exitoso
Expediente pantalla usuario,PF_CP_010,Validación de la pantalla de Usuarios,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla","Muestra la pantalla de usuarios con los botones de agregar usuario, carga masiva de usuarios, actualizar tabla, exportar a excel, filtrar y muestra toda la información de los usuarios existentes.",Exitoso
Expediente pantalla usuario,PF_CP_011,Validación de la funcionalidad del botón Agregar Usuario,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario",Muestra una nueva pantalla donde se debera ingresar la infomracion del usuario a crear: -Area -Tipo de usuarios -Nombre(s) -Apellidos -Cargo -Correo Electronico -Prefijo telefonico -Telefono movil -Telefono fijo -Boton Cancelar -Boton guardar registro,No Ejecutado
Expediente pantalla usuario,PF_CP_012,Validar campo Area,"1.- Seleccionar el botón Usuarios, de la parte izquierda de la pantalla 2.- Seleccionar el boton de agregar usuario 3.- Click en campo Area",Validar que se muestre solo la opción -Ventas,No Ejecutado
